title,genres,overview,year
Inception,Action|Sci-Fi|Thriller,"A thief who steals corporate secrets through dream-sharing tech is given a chance to erase his past if he can plant an idea into a CEO's mind.",2010
Interstellar,Adventure|Drama|Sci-Fi,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",2014
The Dark Knight,Action|Crime|Drama,"Batman faces the Joker, a criminal mastermind who plunges Gotham into anarchy.",2008
The Matrix,Action|Sci-Fi,"A hacker learns the reality he lives in is a simulation and joins a rebellion.",1999
The Matrix Reloaded,Action|Sci-Fi,"Neo and the rebels race against time before the machines discover Zion.",2003
The Matrix Revolutions,Action|Sci-Fi,"The final battle for Zion as Neo faces Agent Smith one last time.",2003
The Prestige,Drama|Mystery|Sci-Fi,"Two rival magicians engage in a battle to create the ultimate illusion.",2006
Memento,Mystery|Thriller,"A man with short-term memory loss uses notes and tattoos to hunt for his wife's killer.",2000
Tenet,Action|Sci-Fi|Thriller,"An agent manipulates time to prevent World War III.",2020
Dunkirk,Action|Drama|History,"Allied soldiers are evacuated from Dunkirk during World War II.",2017
Avatar,Action|Adventure|Sci-Fi,"A paraplegic Marine on an alien planet becomes torn between following orders and protecting the world he feels is his home.",2009
Avatar: The Way of Water,Action|Adventure|Sci-Fi,"Jake Sully lives with his newfound family on Pandora and must fight to protect them.",2022
Guardians of the Galaxy,Action|Adventure|Comedy,"A group of intergalactic criminals must pull together to stop a fanatical warrior.",2014
Guardians of the Galaxy Vol. 2,Action|Adventure|Comedy,"The Guardians struggle to keep their newfound family together and unravel Peter Quill's parentage.",2017
Iron Man,Action|Adventure|Sci-Fi,"After being held captive, Tony Stark builds a suit of armor to fight evil.",2008
Iron Man 2,Action|Adventure|Sci-Fi,"Tony Stark faces new enemies while the world demands to know his Iron Man secrets.",2010
Iron Man 3,Action|Adventure|Sci-Fi,"Tony Stark confronts demons from his past after a terrorist attack.",2013
The Avengers,Action|Adventure|Sci-Fi,"Earth's mightiest heroes must come together to stop Loki and his alien army.",2012
Avengers: Age of Ultron,Action|Adventure|Sci-Fi,"The Avengers must stop Ultron, a rogue AI bent on human extinction.",2015
Avengers: Infinity War,Action|Adventure|Sci-Fi,"The Avengers face their deadliest foe, Thanos, who seeks the Infinity Stones.",2018
Avengers: Endgame,Action|Adventure|Sci-Fi,"The remaining Avengers assemble once more to reverse Thanos's actions and restore balance.",2019
Blade Runner,Drama|Sci-Fi|Thriller,"A blade runner must pursue and terminate four replicants who stole a ship in space.",1982
Blade Runner 2049,Drama|Sci-Fi|Thriller,"A young blade runner discovers a secret that could plunge what's left of society into chaos.",2017
Her,Drama|Romance|Sci-Fi,"A lonely writer develops an unlikely relationship with an operating system.",2013
Ex Machina,Drama|Sci-Fi|Thriller,"A programmer is invited to administer a Turing test to an intelligent humanoid A.I.",2014
Wall-E,Animation|Adventure|Family,"A small waste-collecting robot inadvertently embarks on a space journey that will decide the fate of mankind.",2008
Inside Out,Animation|Adventure|Comedy,"After young Riley is uprooted from her Midwest life, her emotions conflict on how best to navigate a new city.",2015
Coco,Animation|Adventure|Family,"Aspiring musician Miguel enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",2017
Spirited Away,Animation|Family|Fantasy,"A young girl enters a world ruled by gods, witches, and spirits.",2001
Your Name,Animation|Drama|Fantasy,"Two teenagers share a profound connection upon discovering they are swapping bodies.",2016
La La Land,Comedy|Drama|Music,"A jazz pianist and an aspiring actress fall in love while pursuing their dreams.",2016
Whiplash,Drama|Music,"A promising young drummer enrolls at a cut-throat music conservatory.",2014
Parasite,Comedy|Drama|Thriller,"Greed and class discrimination threaten the relationship between two families.",2019
The Social Network,Biography|Drama,"Harvard student Mark Zuckerberg creates what would become Facebook.",2010
The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years.",1994
The Godfather,Crime|Drama,"The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.",1972
The Lord of the Rings: The Fellowship of the Ring,Adventure|Drama|Fantasy,"A meek Hobbit sets out on a journey to destroy a powerful ring.",2001
The Lord of the Rings: The Two Towers,Adventure|Drama|Fantasy,"The Fellowship is broken but continues its quest against Sauron.",2002
The Lord of the Rings: The Return of the King,Adventure|Drama|Fantasy,"The final confrontation for Middle-earth.",2003
Star Wars: A New Hope,Action|Adventure|Sci-Fi,"Luke Skywalker joins forces to save Princess Leia and defeat the Empire.",1977
Star Wars: The Empire Strikes Back,Action|Adventure|Sci-Fi,"The Empire pursues the Rebel Alliance across the galaxy.",1980
Star Wars: Return of the Jedi,Action|Adventure|Sci-Fi,"The Rebel Alliance launches a final stand against the Empire.",1983
The Lion King,Animation|Adventure|Drama,"Lion prince Simba and his father are targeted by his bitter uncle.",1994
Toy Story,Animation|Adventure|Comedy,"A cowboy doll is profoundly threatened by a new spaceman figure.",1995
Toy Story 3,Animation|Adventure|Comedy,"The toys are mistakenly delivered to a day-care center.",2010
Finding Nemo,Animation|Adventure|Comedy,"After his son is captured, clownfish Marlin sets out to find him.",2003
Up,Animation|Adventure|Comedy,"78-year-old Carl ties thousands of balloons to his house and flies away.",2009
Ratatouille,Animation|Adventure|Comedy,"A rat who can cook makes an unusual alliance with a young kitchen worker.",2007
Black Panther,Action|Adventure|Sci-Fi,"T'Challa returns home to Wakanda to serve as the new king.",2018
